DISPOSITIF,SEXE,MARQUE,CHEVILLE MIN,CHEVILLE MAX,MOLLET MIN,MOLLET MAX,CUISSE MIN,CUISSE MAX,HANCHE MAX,TAILLE,HAUTEUR MIN,HAUTEUR MAX,HAUTEUR,DENOMINATION
BAS,FEMME,SIGVARIS,17,19,27,35,42,55,-,XS,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal XS
BAS,FEMME,SIGVARIS,17,19,27,35,42,55,-,XS,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long XS
BAS,FEMME,SIGVARIS,19,22,30,38,45,58,-,S,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal S
BAS,FEMME,SIGVARIS,19,22,30,38,45,58,-,S,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long S
BAS,FEMME,SIGVARIS,22,24,33,41,49,62,-,M,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal M
BAS,FEMME,SIGVARIS,22,24,33,41,49,62,-,M,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long M
BAS,FEMME,SIGVARIS,24,26,37,45,54,67,-,L,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal L
BAS,FEMME,SIGVARIS,24,26,37,45,54,67,-,L,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long L
BAS,FEMME,SIGVARIS,26,29,40,48,56,69,-,XL,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal XL
BAS,FEMME,SIGVARIS,26,29,40,48,56,69,-,XL,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long XL
BAS,FEMME,SIGVARIS,29,32,43,51,62,75,-,XXL,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal XXL
BAS,FEMME,SIGVARIS,29,32,43,51,62,75,-,XXL,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long XXL
BAS,FEMME,SIGVARIS,19,22,26,34,35,45,-,S,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal S Morpho -
BAS,FEMME,SIGVARIS,19,22,26,34,35,45,-,S,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long S Morpho -
BAS,FEMME,SIGVARIS,22,24,29,37,39,49,-,M,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal M Morpho -
BAS,FEMME,SIGVARIS,22,24,29,37,39,49,-,M,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long M Morpho -
BAS,FEMME,SIGVARIS,24,26,33,41,44,54,-,L,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal L Morpho -
BAS,FEMME,SIGVARIS,24,26,33,41,44,54,-,L,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long L Morpho -
BAS,FEMME,SIGVARIS,26,29,36,44,46,56,-,XL,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal XL Morpho -
BAS,FEMME,SIGVARIS,26,29,36,44,46,56,-,XL,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long XL Morpho -
BAS,FEMME,SIGVARIS,19,22,34,42,58,68,-,S,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal S Morpho +
BAS,FEMME,SIGVARIS,19,22,34,42,58,68,-,S,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long S Morpho +
BAS,FEMME,SIGVARIS,22,24,37,45,62,72,-,M,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal M Morpho +
BAS,FEMME,SIGVARIS,22,24,37,45,62,72,-,M,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long M Morpho +
BAS,FEMME,SIGVARIS,24,26,41,49,67,77,-,L,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal L Morpho +
BAS,FEMME,SIGVARIS,24,26,41,49,67,77,-,L,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long L Morpho +
BAS,FEMME,SIGVARIS,26,29,44,52,69,79,-,XL,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal XL Morpho +
BAS,FEMME,SIGVARIS,26,29,44,52,69,79,-,XL,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long XL Morpho +
BAS,FEMME,SIGVARIS,26,29,47,55,75,85,-,XXL,0,75,NORMAL,SIGVARIS FEMME BAS TAILLE Normal XXL Morpho +
BAS,FEMME,SIGVARIS,26,29,47,55,75,85,-,XXL,75,1000,LONG,SIGVARIS FEMME BAS TAILLE Long XXL  Morpho +
BAS,FEMME,DYNAVEN,17,19,29,35,44,58,-,XS,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal XS
BAS,FEMME,DYNAVEN,17,19,29,35,44,58,-,XS,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long XS
BAS,FEMME,DYNAVEN,19,22,32,38,47,61,-,S,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal S
BAS,FEMME,DYNAVEN,19,22,32,38,47,61,-,S,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long S
BAS,FEMME,DYNAVEN,22,24,35,41,50,64,-,M,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal M
BAS,FEMME,DYNAVEN,22,24,35,41,50,64,-,M,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long M
BAS,FEMME,DYNAVEN,24,26,38,44,53,68,-,L,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal L
BAS,FEMME,DYNAVEN,24,26,38,44,53,68,-,L,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long L
BAS,FEMME,DYNAVEN,26,29,41,47,55,70,-,XL,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal XL
BAS,FEMME,DYNAVEN,26,29,41,47,55,70,-,XL,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long XL
BAS,FEMME,DYNAVEN,29,32,44,50,57,74,-,XXL,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal XXL
BAS,FEMME,DYNAVEN,29,32,44,50,57,74,-,XXL,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long XXL
BAS,FEMME,DYNAVEN,17,19,23,29,34,44,-,XS,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal XS Morpho -
BAS,FEMME,DYNAVEN,17,19,23,29,34,44,-,XS,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long XS Morpho -
BAS,FEMME,DYNAVEN,19,22,24,32,37,47,-,S,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal S Morpho -
BAS,FEMME,DYNAVEN,19,22,24,32,37,47,-,S,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long S Morpho -
BAS,FEMME,DYNAVEN,22,24,27,35,40,50,-,M,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal M Morpho -
BAS,FEMME,DYNAVEN,22,24,27,35,40,50,-,M,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long M Morpho -
BAS,FEMME,DYNAVEN,24,26,30,38,43,53,-,L,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal L Morpho -
BAS,FEMME,DYNAVEN,24,26,30,38,43,53,-,L,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long L Morpho -
BAS,FEMME,DYNAVEN,26,29,33,41,45,55,-,XL,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal XL Morpho -
BAS,FEMME,DYNAVEN,26,29,33,41,45,55,-,XL,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long XL Morpho -
BAS,FEMME,DYNAVEN,19,22,38,46,61,69,-,S,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal S Morpho +
BAS,FEMME,DYNAVEN,19,22,38,46,61,69,-,S,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long S Morpho +
BAS,FEMME,DYNAVEN,22,24,41,49,64,72,-,M,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal M Morpho +
BAS,FEMME,DYNAVEN,22,24,41,49,64,72,-,M,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long M Morpho +
BAS,FEMME,DYNAVEN,24,26,44,52,68,76,-,L,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal L Morpho +
BAS,FEMME,DYNAVEN,24,26,44,52,68,76,-,L,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long L Morpho +
BAS,FEMME,DYNAVEN,26,29,47,55,70,78,-,XL,0,75,NORMAL,DYNAVEN FEMME BAS TAILLE Normal XL Morpho +
BAS,FEMME,DYNAVEN,26,29,47,55,70,78,-,XL,75,1000,LONG,DYNAVEN FEMME BAS TAILLE Long XL Morpho +
BAS,FEMME,ACTYS-LEGGER,16,18,27,33,43,53,-,T0,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T0
BAS,FEMME,ACTYS-LEGGER,16,18,27,33,43,53,-,T0,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T0
BAS,FEMME,ACTYS-LEGGER,18,"21,5",30,37,44,54,-,T1,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T1
BAS,FEMME,ACTYS-LEGGER,18,"21,5",30,37,44,54,-,T1,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T1
BAS,FEMME,ACTYS-LEGGER,"21,5","23,5",34,40,50,58,-,T2,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T2
BAS,FEMME,ACTYS-LEGGER,"21,5","23,5",34,40,50,58,-,T2,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T2
BAS,FEMME,ACTYS-LEGGER,"23,5","25,5",37,45,54,64,-,T3,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T3
BAS,FEMME,ACTYS-LEGGER,"23,5","25,5",37,45,54,64,-,T3,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T3
BAS,FEMME,ACTYS-LEGGER,"25,5",29,40,47,58,68,-,T4,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T4
BAS,FEMME,ACTYS-LEGGER,"25,5",29,40,47,58,68,-,T4,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T4
BAS,FEMME,ACTYS-LEGGER,18,"21,5",24,40,36,44,-,T1,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T1 Morpho -
BAS,FEMME,ACTYS-LEGGER,18,"21,5",24,40,36,44,-,T1,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T1 Morpho -
BAS,FEMME,ACTYS-LEGGER,"21,5","23,5",27,34,42,50,-,T2,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T2 Morpho -
BAS,FEMME,ACTYS-LEGGER,"21,5","23,5",27,34,42,50,-,T2,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T2 Morpho -
BAS,FEMME,ACTYS-LEGGER,"23,5","25,5",30,37,46,54,-,T3,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T3 Morpho -
BAS,FEMME,ACTYS-LEGGER,"23,5","25,5",30,37,46,54,-,T3,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T3 Morpho -
BAS,FEMME,ACTYS-LEGGER,"25,5",29,33,40,48,58,-,T4,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T4 Morpho -
BAS,FEMME,ACTYS-LEGGER,"25,5",29,33,40,48,58,-,T4,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T4 Morpho -
BAS,FEMME,ACTYS-LEGGER,18,"21,5",37,44,54,64,-,T1,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T1 Morpho +
BAS,FEMME,ACTYS-LEGGER,18,"21,5",37,44,54,64,-,T1,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T1 Morpho +
BAS,FEMME,ACTYS-LEGGER,"21,5","23,5",40,47,58,68,-,T2,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T2 Morpho +
BAS,FEMME,ACTYS-LEGGER,"21,5","23,5",40,47,58,68,-,T2,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T2 Morpho +
BAS,FEMME,ACTYS-LEGGER,"23,5","25,5",45,52,64,74,-,T3,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T3 Morpho +
BAS,FEMME,ACTYS-LEGGER,"23,5","25,5",45,52,64,74,-,T3,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T3 Morpho +
BAS,FEMME,ACTYS-LEGGER,"25,5",29,47,54,68,78,-,T4,0,72,NORMAL,ACTYS-LEGGER FEMME BAS TAILLE Normal T4 Morpho +
BAS,FEMME,ACTYS-LEGGER,"25,5",29,47,54,68,78,-,T4,72,1000,LONG,ACTYS-LEGGER FEMME BAS TAILLE Long T4 Morpho +
BAS,FEMME,SMARTLEG,16,19,28,36,43,57,-,T0,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T0 
BAS,FEMME,SMARTLEG,16,19,28,36,43,57,-,T0,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T0 
BAS,FEMME,SMARTLEG,19,22,26,34,40,54,-,T1,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T1
BAS,FEMME,SMARTLEG,19,22,26,34,40,54,-,T1,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T1
BAS,FEMME,SMARTLEG,22,25,30,38,45,59,-,T2,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T2
BAS,FEMME,SMARTLEG,22,25,30,38,45,59,-,T2,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T2
BAS,FEMME,SMARTLEG,25,28,34,42,51,65,-,T3,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T3
BAS,FEMME,SMARTLEG,25,28,34,42,51,65,-,T3,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T3
BAS,FEMME,SMARTLEG,28,31,40,48,60,74,-,T4,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T4
BAS,FEMME,SMARTLEG,28,31,40,48,60,74,-,T4,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T4
BAS,FEMME,SMARTLEG,19,22,34,42,54,66,-,T1,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T1 Morpho+
BAS,FEMME,SMARTLEG,19,22,34,42,54,66,-,T1,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T1 Morpho+
BAS,FEMME,SMARTLEG,22,25,38,46,59,71,-,T2,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T2 Morpho+
BAS,FEMME,SMARTLEG,22,25,38,46,59,71,-,T2,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T2 Morpho+
BAS,FEMME,SMARTLEG,25,28,42,50,65,77,-,T3,74,1000,NORMAL,SMARTLEG FEMME BAS TAILLE Normal T3 Morpho+
BAS,FEMME,SMARTLEG,25,28,42,50,65,77,-,T3,0,74,COURT,SMARTLEG FEMME BAS TAILLE Court T3 Morpho+
BAS,FEMME,RADIANTE,18,"21,5",26,36,44,53,-,T1,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T1
BAS,FEMME,RADIANTE,18,"21,5",26,36,44,53,-,T1,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T1
BAS,FEMME,RADIANTE,18,"21,5",26,36,44,53,-,T1,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T1
BAS,FEMME,RADIANTE,22,"24,5",29,40,47,58,-,T2,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T2
BAS,FEMME,RADIANTE,22,"24,5",29,40,47,58,-,T2,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T2
BAS,FEMME,RADIANTE,22,"24,5",29,40,47,58,-,T2,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T2
BAS,FEMME,RADIANTE,25,"26,5",33,44,52,63,-,T3,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T3
BAS,FEMME,RADIANTE,25,"26,5",33,44,52,63,-,T3,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T3
BAS,FEMME,RADIANTE,25,"26,5",33,44,52,63,-,T3,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T3
BAS,FEMME,RADIANTE,27,"30,5",37,48,57,68,-,T4,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T4
BAS,FEMME,RADIANTE,27,"30,5",37,48,57,68,-,T4,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T4
BAS,FEMME,RADIANTE,27,"30,5",37,48,57,68,-,T4,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T4
BAS,FEMME,RADIANTE,31,34,41,48,63,70,-,T5,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T5
BAS,FEMME,RADIANTE,31,34,41,48,63,70,-,T5,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T5
BAS,FEMME,RADIANTE,31,34,41,48,63,70,-,T5,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T5
BAS,FEMME,RADIANTE,18,"21,5",18,"21,5",41,43,-,T1,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T1 Morpho -
BAS,FEMME,RADIANTE,18,"21,5",18,"21,5",41,43,-,T1,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T1 Morpho -
BAS,FEMME,RADIANTE,18,"21,5",18,"21,5",41,43,-,T1,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T1 Morpho -
BAS,FEMME,RADIANTE,22,"24,5",22,"24,5",43,46,-,T2,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T2 Morpho -
BAS,FEMME,RADIANTE,22,"24,5",22,"24,5",43,46,-,T2,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T2 Morpho -
BAS,FEMME,RADIANTE,22,"24,5",22,"24,5",43,46,-,T2,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T2 Morpho -
BAS,FEMME,RADIANTE,25,"26,5",25,"26,5",46,51,-,T3,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T3 Morpho -
BAS,FEMME,RADIANTE,25,"26,5",25,"26,5",46,51,-,T3,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T3 Morpho -
BAS,FEMME,RADIANTE,25,"26,5",25,"26,5",46,51,-,T3,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T3 Morpho -
BAS,FEMME,RADIANTE,27,"30,5",27,"30,5",49,56,-,T4,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T4 Morpho -
BAS,FEMME,RADIANTE,27,"30,5",27,"30,5",49,56,-,T4,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T4 Morpho -
BAS,FEMME,RADIANTE,27,"30,5",27,"30,5",49,56,-,T4,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T4 Morpho -
BAS,FEMME,RADIANTE,31,34,31,34,54,62,-,T5,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T5 Morpho -
BAS,FEMME,RADIANTE,31,34,31,34,54,62,-,T5,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T5 Morpho -
BAS,FEMME,RADIANTE,31,34,31,34,54,62,-,T5,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T5 Morpho -
BAS,FEMME,RADIANTE,18,"21,5",18,"21,5",54,59,-,T1,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T1 Morpho +
BAS,FEMME,RADIANTE,18,"21,5",18,"21,5",54,59,-,T1,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T1 Morpho +
BAS,FEMME,RADIANTE,18,"21,5",18,"21,5",54,59,-,T1,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T1 Morpho +
BAS,FEMME,RADIANTE,22,"24,5",22,"24,5",59,64,-,T2,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T2 Morpho +
BAS,FEMME,RADIANTE,22,"24,5",22,"24,5",59,64,-,T2,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T2 Morpho +
BAS,FEMME,RADIANTE,22,"24,5",22,"24,5",59,64,-,T2,86,1000,LONG,RADIANTE FEMME BAS TAILLE Long T2 Morpho +
BAS,FEMME,RADIANTE,25,"26,5",25,"26,5",64,69,-,T3,0,69,COURT,RADIANTE FEMME BAS TAILLE Court T3 Morpho +
BAS,FEMME,RADIANTE,25,"26,5",25,"26,5",64,69,-,T3,69,78,NORMAL,RADIANTE FEMME BAS TAILLE Normal T3 Morpho +
